Item,Quantity,Description,Product line
1,2,4040-A 290mm extrusion,Ender 3 part
2,2,4040-A 290m extrusion,Ender 3 part
3,4,2040-B 400mm extrusion,Ender 3 part
4,2,2040-C 345mm extrusion,Ender 3 part
5,2,2020-E 345mm extrusion,Ender 3 part
6,5,Nema 17 42-34 motor,Ender 3 part
7,3,Motor coupler D5/8,Ender 3 part
8,3,T8 lead screw,Ender 3 part
9,1,235x235 Heat bed,Ender 3 part
10,2,M5x25 SHCS,Ender 3 part
11,1,2040-C 345mm extrusion,Extrusion
12,1,2020-E 345mm extrusion,Extrusion
13,2,2020V 200mm,Extrusion
14,1,2020V 300mm,Extrusion
15,97,M5x8 BHCS,Fastener
16,41,M5 T-slot nut,Fastener
17,3,M5x16 BHCS,Fastener
18,5,M5 Hex nut,Fastener
19,4,M4x25 FHCS,Fastener
20,94,M3x8 SHCS,Fastener
21,9,M3x6 BHCS,Fastener
22,54,M3 T-slot nut,Fastener
23,8,M3x5x4 Heat set insert,Fastener
24,3,TR8x8 leadscrew nut,Fastener
25,3,GE5C bearing,Fastener
26,4,M3x8 BHCS,Fastener
27,2,M3 Hammerhead nut,Fastener
28,18,M3x5x4 Heat set insert,Fastener
29,6,M3x35 SHCS,Fastener
30,14,M3x30 SHCS,Fastener
31,8,M3x6 SHCS,Fastener
32,4,12mm silicone spacer,Hardware
33,2,M3x20mm pin,Hardware
34,6,MGN9H 300mm rail,Kinematics
35,6,MGN9H carriage,Kinematics
36,39,M3x0.5mm shim,Kinematics
37,5,M3x10mm spacer,Kinematics
38,8,M3 pin,Kinematics
39,10,16T 6W 3B toothless idler,Kinematics
40,2,GT2 16T 6W 5B pulley,Kinematics
41,2,F695-2RS bearing,Kinematics
42,1,GT2 6mm belt  approx. 1.5m,Kinematics
43,1,GT2 6mm belt approx. 1.5m,Kinematics
44,2,16T6W3B toothed idler,Kinematics
45,3,Top Z spacer,Printed part
46,2,Bottom Z spacer,Printed part
47,1,Z motor holder back,Printed part
48,6,Z Carriage stopper,Printed part
49,1,Z joint back,Printed part
50,2,Z motor holder front,Printed part
51,1,Z Front Left Joint,Printed Part
52,1,Z Front left Joint Cover,Printed Part
53,1,Z joint right,Printed part
54,1,Joint cover right,Printed part
55,1,Bed support back,Printed part
56,1,Bed support left,Printed part
57,1,Z Right Bed Holder,Printed Part
58,1,AB motor mount BottomLeft,Printed part
59,1,AB motor mount TopLeft,Printed part
60,2,Y Carriage stopper,Printed part
61,1,Front Left Holder Medusa9H,Printed part
62,1,Left Tensioner Bottom,Printed part
63,1,Left Tensioner Top,Printed part
64,1,AB motor mount BottomRight,Printed part
65,1,AB motor mount TopRight,Printed part
66,1,Front Right Holder Medusa9H,Printed part
67,1,Right Tensioner Bottom,Printed part
68,1,Right Tensioner Top,Printed part
69,1,Y Carriage Bottom Left,Printed part
70,1,Y Carriage Bottom Right,Printed part
71,1,Y Carriage Top Left,Printed part
72,1,Y Carriage Top Right,Printed part
73,2,Base FL/BR Foot,Printed Part
74,2,Base Side Skirt,Printed Part
75,2,Base FR/BL Foot,Printed Part
76,1,Base Back Skirt,Printed Part
77,1,Base Back Plug Housing,Printed Part
78,4,Base Fan Dummy,Printed Part
79,1,Base Front Skirt,Printed Part
80,2,Base Insert,Printed Part
81,4,Base Fan Grill,Printed Part
82,1,HDMI5 Mount,Printed Part
83,1,HDMI5 Frame,Printed Part
